Stkcd,Reptdt,Lev,Cash
300078,2014/12/31,0.086427,0.556497
300164,2014/12/31,0.229536,-0.107484
300025,2014/12/31,0.552676,-0.082647
300006,2014/12/31,0.546796,-0.043255
300124,2014/12/31,0.219502,0.660627
300288,2014/12/31,0.222748,0.330839
300058,2014/12/31,0.591876,0.042803
300031,2014/12/31,0.163603,0.495246
300178,2014/12/31,0.409732,-0.444448
300043,2014/12/31,0.319853,0.405409
300095,2014/12/31,0.237044,0.238207
300019,2014/12/31,0.256607,0.280761
300419,2014/12/31,0.302836,
300142,2014/12/31,0.461774,-0.022151
300396,2014/12/31,0.121249,
300349,2014/12/31,0.194697,0.350802
300037,2014/12/31,0.172355,0.558372
300073,2014/12/31,0.197021,-0.001146
300101,2014/12/31,0.318957,0.612969
300166,2014/12/31,0.172234,0.396853
300231,2014/12/31,0.238004,-0.178914
300254,2014/12/31,0.303194,0.241248
300275,2014/12/31,0.161362,-0.515021
300272,2014/12/31,0.113166,1.104577
300068,2014/12/31,0.390945,0.025878
300421,2014/12/31,0.500372,
300249,2014/12/31,0.423664,0.040223
300255,2014/12/31,0.302172,-0.17382
300370,2014/12/31,0.507961,-0.087071
300138,2014/12/31,0.331313,0.478469
300154,2014/12/31,0.142683,0.401732
300284,2014/12/31,0.509114,0.137977
300283,2014/12/31,0.358777,0.188281
300212,2014/12/31,0.662112,-0.244408
300412,2014/12/31,0.214658,
300403,2014/12/31,0.078895,
300271,2014/12/31,0.355235,0.624169
300039,2014/12/31,0.109911,1.420992
300304,2014/12/31,0.136287,0.409681
300296,2014/12/31,0.435279,0.123918
300339,2014/12/31,0.340357,0.085557
300384,2014/12/31,0.473972,
300310,2014/12/31,0.300214,0.160832
300332,2014/12/31,0.412661,0.03972
300048,2014/12/31,0.197789,0.015531
300210,2014/12/31,0.39977,-0.230827
300293,2014/12/31,0.649943,0.081879
300222,2014/12/31,0.24416,0.161116
300066,2014/12/31,0.134057,0.669611
300081,2014/12/31,0.101729,0.391022
300207,2014/12/31,0.674401,0.30864
300071,2014/12/31,0.435847,0.193575
300113,2014/12/31,0.219655,0.806205
300032,2014/12/31,0.413738,0.10471
300090,2014/12/31,0.65212,0.059597
300114,2014/12/31,0.245419,0.216826
300181,2014/12/31,0.262166,0.057166
300188,2014/12/31,0.271206,0.630344
300200,2014/12/31,0.085251,0.955208
300218,2014/12/31,0.440827,0.252061
300334,2014/12/31,0.292141,-0.336858
300027,2014/12/31,0.421496,-0.005688
300392,2014/12/31,0.204496,
300393,2014/12/31,0.297326,
300047,2014/12/31,0.339421,-0.24254
300180,2014/12/31,0.197377,0.585858
300264,2014/12/31,0.04992,0.383659
300163,2014/12/31,0.29957,0.497083
300338,2014/12/31,0.129103,0.351619
300038,2014/12/31,0.415188,-0.254801
300250,2014/12/31,0.12602,0.572768
300259,2014/12/31,0.164946,0.771829
300007,2014/12/31,0.315393,0.123557
300194,2014/12/31,0.068052,-0.237642
300360,2014/12/31,0.420651,0.351453
300378,2014/12/31,0.222969,-0.002524
300126,2014/12/31,0.153243,0.189276
300223,2014/12/31,0.01399,-0.079846
300290,2014/12/31,0.323621,-0.141334
300306,2014/12/31,0.061208,1.39525
300401,2014/12/31,0.061204,
300008,2014/12/31,0.361288,-0.081473
300313,2014/12/31,0.284544,0.020822
300420,2014/12/31,0.239344,
300092,2014/12/31,0.312425,0.03841
300354,2014/12/31,0.079054,0.164044
300103,2014/12/31,0.148435,0.564626
300109,2014/12/31,0.156716,0.77688
300130,2014/12/31,0.179516,-0.016637
300234,2014/12/31,0.301805,0.280501
300036,2014/12/31,0.235149,0.418241
300120,2014/12/31,0.15179,-0.352958
300091,2014/12/31,0.563829,-0.008385
300016,2014/12/31,0.265348,0.279012
300287,2014/12/31,0.51766,-0.153766
300375,2014/12/31,0.213175,0.413601
300400,2014/12/31,0.21392,
300026,2014/12/31,0.225028,0.249641
300080,2014/12/31,0.417755,0.098874
300082,2014/12/31,0.402749,-0.319169
300104,2014/12/31,0.62225,0.055439
300115,2014/12/31,0.477824,0.024718
300325,2014/12/31,0.56297,0.08641
300327,2014/12/31,0.091592,0.780801
300015,2014/12/31,0.177638,1.089141
300044,2014/12/31,0.315625,0.004546
300252,2014/12/31,0.557883,0.050446
300042,2014/12/31,0.03402,0.011802
300215,2014/12/31,0.583018,0.160428
300168,2014/12/31,0.549867,-0.075708
300269,2014/12/31,0.236699,0.440665
300098,2014/12/31,0.390728,-0.2938
300232,2014/12/31,0.494196,0.164037
300174,2014/12/31,0.177312,0.218321
300265,2014/12/31,0.350343,-0.153673
300376,2014/12/31,0.568037,0.045124
300108,2014/12/31,0.298849,0.23946
300399,2014/12/31,0.027101,
300050,2014/12/31,0.172616,0.434086
300150,2014/12/31,0.103018,0.016696
300159,2014/12/31,0.113036,-0.110022
300371,2014/12/31,0.07795,1.678314
300028,2014/12/31,0.665853,0.198517
300233,2014/12/31,0.374511,0.358964
300388,2014/12/31,0.694704,
300118,2014/12/31,0.52437,-0.040184
300292,2014/12/31,0.324594,0.363175
300112,2014/12/31,0.163476,0.210667
300145,2014/12/31,0.263692,0.363371
300213,2014/12/31,0.28122,0.248867
300224,2014/12/31,0.246341,-0.149012
300301,2014/12/31,0.547377,0.042364
300382,2014/12/31,0.216207,0.530355
300321,2014/12/31,0.26089,0.546466
300001,2014/12/31,0.482982,0.095186
300342,2014/12/31,0.126256,0.946906
300389,2014/12/31,0.403698,
300415,2014/12/31,0.69214,
300116,2014/12/31,0.3572,0.046529
300106,2014/12/31,0.568291,-0.209949
300240,2014/12/31,0.270944,0.075553
300077,2014/12/31,0.052955,-0.239474
300205,2014/12/31,0.449342,-0.1388
300119,2014/12/31,0.129722,0.475341
300012,2014/12/31,0.185966,1.092255
300314,2014/12/31,0.069265,1.409838
300329,2014/12/31,0.181439,0.038768
300024,2014/12/31,0.387024,0.091382
300245,2014/12/31,0.121951,0.567803
300170,2014/12/31,0.077496,0.461086
300203,2014/12/31,0.274489,0.222311
300211,2014/12/31,0.154775,0.25434
300051,2014/12/31,0.289953,0.136837
300085,2014/12/31,0.132084,0.454392
300087,2014/12/31,0.304966,0.324527
300246,2014/12/31,0.175462,0.501002
300291,2014/12/31,0.095735,-0.237015
300359,2014/12/31,0.061862,1.081923
300148,2014/12/31,0.125632,1.0048
300416,2014/12/31,0.362185,
300010,2014/12/31,0.288986,0.200651
300279,2014/12/31,0.4509,0.123759
300034,2014/12/31,0.214658,0.007297
300261,2014/12/31,0.460055,0.198061
300312,2014/12/31,0.465009,-0.203811
300347,2014/12/31,0.324628,0.176913
300425,2014/12/31,0.319153,
300107,2014/12/31,0.054588,2.802599
300089,2014/12/31,0.321044,0.133204
300407,2014/12/31,0.318875,
300057,2014/12/31,0.532707,0.069033
300214,2014/12/31,0.111059,0.274638
300319,2014/12/31,0.282642,0.315177
300153,2014/12/31,0.184586,-0.035063
300185,2014/12/31,0.470371,0.014761
300405,2014/12/31,0.555829,
300274,2014/12/31,0.514995,0.00473
300005,2014/12/31,0.267455,0.638079
300331,2014/12/31,0.279388,0.034224
300132,2014/12/31,0.430529,0.146066
300136,2014/12/31,0.356962,0.044097
300065,2014/12/31,0.174287,-0.075253
300189,2014/12/31,0.152389,0.19675
300243,2014/12/31,0.50669,-0.033742
300251,2014/12/31,0.348515,-0.078635
300262,2014/12/31,0.489131,0.23418
300158,2014/12/31,0.310751,0.084811
300040,2014/12/31,0.152293,0.449046
300149,2014/12/31,0.060181,1.523214
300160,2014/12/31,0.203871,0.304155
300206,2014/12/31,0.142051,0.056034
300391,2014/12/31,0.465119,
300062,2014/12/31,0.199376,0.066165
300300,2014/12/31,0.403303,-0.319102
300340,2014/12/31,0.135671,-0.089071
300413,2014/12/31,0.346714,
300021,2014/12/31,0.687484,0.013202
300350,2014/12/31,0.444895,-0.108034
300110,2014/12/31,0.435571,0.06398
300135,2014/12/31,0.504248,0.265478
300173,2014/12/31,0.229241,-0.043933
300129,2014/12/31,0.381791,0.080827
300258,2014/12/31,0.257724,0.388305
300368,2014/12/31,0.264387,0.236834
300177,2014/12/31,0.147105,0.073218
300315,2014/12/31,0.19757,0.585683
300084,2014/12/31,0.340537,0.137345
300088,2014/12/31,0.383494,0.034697
300202,2014/12/31,0.211764,1.060397
300235,2014/12/31,0.06027,1.114985
300408,2014/12/31,0.136894,
300285,2014/12/31,0.147317,-0.08658
300336,2014/12/31,0.251774,-0.401545
300197,2014/12/31,0.596068,-0.100307
300302,2014/12/31,0.151557,0.391659
300435,2014/12/31,0.572968,
300022,2014/12/31,0.886428,-0.026504
300069,2014/12/31,0.262997,-0.183089
300122,2014/12/31,0.094574,0.708896
300260,2014/12/31,0.302801,-0.070857
300409,2014/12/31,0.307795,
300417,2014/12/31,0.146044,
300318,2014/12/31,0.091036,0.50647
300383,2014/12/31,0.190865,0.968485
300045,2014/12/31,0.202648,0.059952
300100,2014/12/31,0.475121,0.068691
300161,2014/12/31,0.318106,0.078316
300083,2014/12/31,0.603031,-0.068278
300086,2014/12/31,0.051074,0.766944
300280,2014/12/31,0.198867,0.298345
300093,2014/12/31,0.451869,0.197077
300096,2014/12/31,0.232912,0.354009
300276,2014/12/31,0.268152,0.174053
300075,2014/12/31,0.184697,-0.257734
300097,2014/12/31,0.143521,-0.147317
300257,2014/12/31,0.216101,0.358987
300079,2014/12/31,0.078798,1.276842
