Stkcd,Reptdt,Asset
300301,2015/12/31,3077002727
300351,2015/12/31,1281544081
300298,2015/12/31,1334012510
300125,2015/12/31,1971013863
300125,2014/12/31,2371114916
300131,2015/12/31,2513528196
300227,2015/12/31,604010674.7
300450,2015/12/31,1716577255
300376,2015/12/31,4437153790
300437,2015/12/31,480645568.7
300349,2015/12/31,1254150216
300324,2015/12/31,2193476348
300054,2015/12/31,1778687091
300118,2015/12/31,8486439371
300271,2015/12/31,2677274090
300161,2015/12/31,1503870316
300363,2015/12/31,2379401254
300443,2015/12/31,1029886752
300132,2015/12/31,902390329.2
300140,2015/12/31,1158076121
300453,2015/12/31,592278145.7
300278,2015/12/31,3249432447
300121,2015/12/31,1241256248
300175,2015/12/31,1575400740
300233,2015/12/31,1996292207
300336,2015/12/31,3722565615
300095,2015/12/31,1193839084
300243,2015/12/31,1245234906
300228,2015/12/31,3846166435
300193,2015/12/31,2289069324
300146,2015/12/31,4905409685
300259,2015/12/31,1030942935
300331,2015/12/31,700607554.3
300144,2015/12/31,6987027598
300014,2015/12/31,2487956258
300191,2015/12/31,1258551037
300204,2015/12/31,2070855880
300122,2015/12/31,2681630815
300203,2015/12/31,4113469046
300077,2015/12/31,3199702398
300432,2015/12/31,1334028690
300009,2015/12/31,1401292748
300485,2015/12/31,1944810335
300441,2015/12/31,608389032.5
300283,2015/12/31,834640580.6
300163,2015/12/31,1160026231
300148,2015/12/31,2085786831
300335,2015/12/31,1938101926
300314,2015/12/31,752774082
300105,2015/12/31,2793085325
300414,2015/12/31,799970886.9
300238,2015/12/31,807023693.1
300316,2015/12/31,2362841132
300024,2015/12/31,6565296654
300430,2015/12/31,907758549
300245,2015/12/31,815914970.2
300111,2015/12/31,3078740540
300457,2015/12/31,977299963.3
300116,2015/12/31,1454135992
300322,2015/12/31,1285914389
300360,2015/12/31,1620138109
300408,2015/12/31,4994533792
300073,2015/12/31,1740697885
300421,2015/12/31,695869063.4
300383,2015/12/31,1575639829
300244,2015/12/31,2292182867
300375,2015/12/31,1419539073
300068,2015/12/31,6932185128
300172,2015/12/31,1510639403
300087,2015/12/31,1107796218
300176,2015/12/31,2032477885
300072,2015/12/31,10231480337
300403,2015/12/31,1356941940
300080,2015/12/31,5426919032
300143,2015/12/31,1848859238
300428,2015/12/31,703389115.2
300458,2015/12/31,1785057105
300025,2015/12/31,2200225884
300422,2015/12/31,1042039376
300225,2015/12/31,1071503639
300393,2015/12/31,1598165402
300398,2015/12/31,995831279.3
300149,2015/12/31,756003841.4
300488,2015/12/31,637085878.1
300365,2015/12/31,722713784.2
300120,2015/12/31,767453966
300104,2015/12/31,16982154559
300215,2015/12/31,3821342840
300472,2015/12/31,503013276.4
300296,2015/12/31,5281825435
300255,2015/12/31,2328271396
300184,2015/12/31,1004815298
300019,2015/12/31,898839743.9
300045,2015/12/31,1158093909
300222,2015/12/31,2188409741
300256,2015/12/31,6361494501
300037,2015/12/31,2310262653
300036,2015/12/31,1036955204
300101,2015/12/31,1356168148
300249,2015/12/31,1581386402
300017,2015/12/31,3505737691
300466,2015/12/31,623471106.4
300213,2015/12/31,1650836778
300491,2015/12/31,526293001.8
300368,2015/12/31,1453893207
300034,2015/12/31,1566929066
300056,2015/12/31,1528256558
300410,2015/12/31,777950639.3
300026,2015/12/31,6472574269
300247,2015/12/31,1931536053
300262,2015/12/31,1768049922
300114,2015/12/31,1810138881
300081,2015/12/31,975408054.5
300027,2015/12/31,17893979297
300210,2015/12/31,1743733862
300067,2015/12/31,1372477552
300092,2015/12/31,672981788.2
300455,2015/12/31,738872083
300209,2015/12/31,1004949029
300293,2015/12/31,1800575725
300320,2015/12/31,1089205229
300392,2015/12/31,1466605133
300066,2015/12/31,1601568851
300139,2015/12/31,1434353700
300237,2015/12/31,4430010565
300150,2015/12/31,1706614276
300207,2015/12/31,5711498456
300339,2015/12/31,4998625142
300476,2015/12/31,1982956130
300052,2015/12/31,1255858292
300482,2015/12/31,798568778.3
300208,2015/12/31,2136752238
300286,2015/12/31,672745144.7
300160,2015/12/31,1535275360
300127,2015/12/31,1132245848
300253,2015/12/31,1734855039
300190,2015/12/31,2777565350
300147,2015/12/31,4652002211
300200,2015/12/31,836833988
300218,2015/12/31,1808632201
300475,2015/12/31,1253648447
300451,2015/12/31,888451342.4
300436,2015/12/31,600699820.4
300378,2015/12/31,1550707885
300373,2015/12/31,1330512471
300289,2015/12/31,1658679907
300354,2015/12/31,365166475.9
300291,2015/12/31,4698007341
300103,2015/12/31,1010666951
300416,2015/12/31,613953633.8
300138,2015/12/31,1991269824
300284,2015/12/31,5445683124
300480,2015/12/31,502341688.5
300044,2015/12/31,1261085274
300230,2015/12/31,1681825549
300328,2015/12/31,923633521.6
300015,2015/12/31,3256625248
300307,2015/12/31,4097120096
300089,2015/12/31,1189152503
300039,2015/12/31,2426668506
300481,2015/12/31,463292480.3
300338,2015/12/31,931071825.9
300071,2015/12/31,2584579172
300099,2015/12/31,943349803.4
300390,2015/12/31,970365607.6
300469,2015/12/31,688154627.3
300115,2015/12/31,5083946161
300229,2015/12/31,1806583179
300412,2015/12/31,537995281.2
300290,2015/12/31,1070124753
300134,2015/12/31,4349268402
300177,2015/12/31,1903468317
300223,2015/12/31,1126307071
300007,2015/12/31,2810808331
300231,2015/12/31,658671988.2
300093,2015/12/31,1624977609
300003,2015/12/31,7729892449
300057,2015/12/31,4535795274
300047,2015/12/31,2417278485
300221,2015/12/31,1275160333
300239,2015/12/31,780043276.8
300090,2015/12/31,11906154178
300327,2015/12/31,740228732.7
300214,2015/12/31,1551392244
300406,2015/12/31,1261765209
300065,2015/12/31,1657280225
300317,2015/12/31,6476990111
300419,2015/12/31,1441748910
300299,2015/12/31,1617565090
300133,2015/12/31,8152504266
300217,2015/12/31,2316739747
300425,2015/12/31,1429641882
300050,2015/12/31,2431323004
300371,2015/12/31,561543765.1
300074,2015/12/31,1244507872
300479,2015/12/31,500249322.8
