Stkcd,Reptdt,Num_of_meet
300222,2014/12/31,6
300264,2014/12/31,6
300293,2014/12/31,10
300334,2014/12/31,14
300392,2014/12/31,7
300393,2014/12/31,10
300092,2014/12/31,7
300420,2014/12/31,6
300007,2014/12/31,8
300008,2014/12/31,12
300038,2014/12/31,11
300126,2014/12/31,10
300163,2014/12/31,12
300194,2014/12/31,9
300223,2014/12/31,4
300250,2014/12/31,10
300259,2014/12/31,8
300290,2014/12/31,9
300306,2014/12/31,4
300313,2014/12/31,11
300338,2014/12/31,7
300360,2014/12/31,9
300378,2014/12/31,7
300401,2014/12/31,6
300015,2014/12/31,17
300016,2014/12/31,8
300026,2014/12/31,13
300036,2014/12/31,8
300042,2014/12/31,9
300044,2014/12/31,18
300080,2014/12/31,10
300082,2014/12/31,9
300091,2014/12/31,12
300103,2014/12/31,11
300104,2014/12/31,22
300109,2014/12/31,8
300115,2014/12/31,12
300120,2014/12/31,9
300130,2014/12/31,11
300215,2014/12/31,5
300234,2014/12/31,6
300252,2014/12/31,8
300287,2014/12/31,10
300325,2014/12/31,6
300327,2014/12/31,4
300354,2014/12/31,6
300375,2014/12/31,11
300400,2014/12/31,8
300098,2014/12/31,11
300168,2014/12/31,18
300232,2014/12/31,11
300269,2014/12/31,11
300108,2014/12/31,10
300174,2014/12/31,7
300265,2014/12/31,8
300376,2014/12/31,12
300399,2014/12/31,8
300028,2014/12/31,8
300050,2014/12/31,7
300150,2014/12/31,10
300159,2014/12/31,8
300233,2014/12/31,11
300371,2014/12/31,5
300388,2014/12/31,16
300118,2014/12/31,10
300292,2014/12/31,13
300112,2014/12/31,7
300145,2014/12/31,8
300213,2014/12/31,8
300224,2014/12/31,9
300301,2014/12/31,9
300001,2014/12/31,7
300116,2014/12/31,18
300321,2014/12/31,10
300342,2014/12/31,8
300382,2014/12/31,8
300389,2014/12/31,9
300415,2014/12/31,8
300077,2014/12/31,9
300106,2014/12/31,9
300119,2014/12/31,7
300205,2014/12/31,6
300240,2014/12/31,4
300010,2014/12/31,22
300012,2014/12/31,10
300024,2014/12/31,8
300051,2014/12/31,12
300085,2014/12/31,11
300087,2014/12/31,11
300148,2014/12/31,9
300170,2014/12/31,18
300203,2014/12/31,10
300211,2014/12/31,5
300245,2014/12/31,9
300246,2014/12/31,8
300279,2014/12/31,9
300291,2014/12/31,15
300314,2014/12/31,5
300329,2014/12/31,8
300359,2014/12/31,8
300416,2014/12/31,6
300034,2014/12/31,12
300261,2014/12/31,8
300312,2014/12/31,10
300347,2014/12/31,14
300425,2014/12/31,10
300089,2014/12/31,9
300107,2014/12/31,10
300407,2014/12/31,9
300005,2014/12/31,10
300057,2014/12/31,8
300153,2014/12/31,9
300185,2014/12/31,11
300214,2014/12/31,6
300274,2014/12/31,7
300319,2014/12/31,8
300331,2014/12/31,7
300405,2014/12/31,8
300065,2014/12/31,9
300132,2014/12/31,12
300136,2014/12/31,6
300158,2014/12/31,10
300189,2014/12/31,4
300243,2014/12/31,6
300251,2014/12/31,15
300262,2014/12/31,7
300040,2014/12/31,5
300062,2014/12/31,6
300149,2014/12/31,11
300160,2014/12/31,6
300206,2014/12/31,8
300300,2014/12/31,14
300340,2014/12/31,8
300391,2014/12/31,9
300413,2014/12/31,9
300202,2014/12/31,10
300235,2014/12/31,4
300408,2014/12/31,12
300021,2014/12/31,8
300084,2014/12/31,12
300088,2014/12/31,14
300110,2014/12/31,8
300129,2014/12/31,9
300135,2014/12/31,8
300173,2014/12/31,8
300177,2014/12/31,9
300258,2014/12/31,5
300315,2014/12/31,22
300350,2014/12/31,8
300368,2014/12/31,10
300022,2014/12/31,11
300045,2014/12/31,10
300069,2014/12/31,5
300083,2014/12/31,11
300086,2014/12/31,8
300093,2014/12/31,9
300096,2014/12/31,7
300100,2014/12/31,16
300122,2014/12/31,7
300161,2014/12/31,8
300197,2014/12/31,12
300260,2014/12/31,7
300276,2014/12/31,8
300280,2014/12/31,8
300285,2014/12/31,12
300302,2014/12/31,6
300318,2014/12/31,10
300336,2014/12/31,8
300383,2014/12/31,9
300417,2014/12/31,5
300435,2014/12/31,5
300409,2014/12/31,7
300052,2014/12/31,15
300075,2014/12/31,11
300079,2014/12/31,11
300097,2014/12/31,7
300147,2014/12/31,8
300167,2014/12/31,9
300175,2014/12/31,4
300257,2014/12/31,5
300311,2014/12/31,12
300330,2014/12/31,12
300333,2014/12/31,7
300346,2014/12/31,8
300356,2014/12/31,8
300014,2014/12/31,12
300018,2014/12/31,8
300128,2014/12/31,9
300169,2014/12/31,15
300364,2014/12/31,9
300373,2014/12/31,9
300381,2014/12/31,10
300410,2014/12/31,4
300418,2014/12/31,6
300348,2014/12/31,11
300004,2014/12/31,11
300013,2014/12/31,13
300020,2014/12/31,8
300041,2014/12/31,10
300053,2014/12/31,11
300061,2014/12/31,11
300076,2014/12/31,11
300099,2014/12/31,8
300117,2014/12/31,13
300143,2014/12/31,13
300152,2014/12/31,9
300162,2014/12/31,6
300176,2014/12/31,10
300183,2014/12/31,8
300191,2014/12/31,7
300192,2014/12/31,5
300220,2014/12/31,8
300229,2014/12/31,10
300236,2014/12/31,7
300268,2014/12/31,13
300277,2014/12/31,9
300297,2014/12/31,10
300326,2014/12/31,8
300352,2014/12/31,8
300355,2014/12/31,5
300387,2014/12/31,6
300402,2014/12/31,6
300411,2014/12/31,8
300385,2014/12/31,12
300123,2014/12/31,11
300429,2014/12/31,5
300397,2014/12/31,11
300002,2014/12/31,23
300035,2014/12/31,8
300049,2014/12/31,11
300063,2014/12/31,11
300070,2014/12/31,22
300137,2014/12/31,10
300151,2014/12/31,7
300155,2014/12/31,10
300157,2014/12/31,13
300171,2014/12/31,11
300182,2014/12/31,13
300187,2014/12/31,11
300217,2014/12/31,4
300219,2014/12/31,12
300228,2014/12/31,15
300230,2014/12/31,8
300263,2014/12/31,8
300266,2014/12/31,10
300270,2014/12/31,8
300273,2014/12/31,14
300307,2014/12/31,10
300308,2014/12/31,7
300320,2014/12/31,7
300337,2014/12/31,8
300344,2014/12/31,7
300362,2014/12/31,14
300366,2014/12/31,10
300369,2014/12/31,14
300372,2014/12/31,9
300374,2014/12/31,7
300377,2014/12/31,5
300386,2014/12/31,9
300102,2014/12/31,9
300186,2014/12/31,7
300282,2014/12/31,10
300094,2014/12/31,8
300401,2015/12/31,5
300301,2015/12/31,11
300351,2015/12/31,7
300298,2015/12/31,10
300125,2015/12/31,8
300131,2015/12/31,10
300227,2015/12/31,9
300450,2015/12/31,7
300376,2015/12/31,12
300437,2015/12/31,7
300349,2015/12/31,10
300054,2015/12/31,11
300118,2015/12/31,13
300161,2015/12/31,9
300271,2015/12/31,14
300324,2015/12/31,15
300132,2015/12/31,11
300363,2015/12/31,16
300443,2015/12/31,7
300140,2015/12/31,10
300278,2015/12/31,13
300453,2015/12/31,7
300121,2015/12/31,10
300175,2015/12/31,6
300233,2015/12/31,12
300095,2015/12/31,10
300336,2015/12/31,3
300162,2015/12/31,8
300193,2015/12/31,9
300228,2015/12/31,13
300243,2015/12/31,13
300146,2015/12/31,10
300259,2015/12/31,10
300331,2015/12/31,5
300191,2015/12/31,9
300014,2015/12/31,14
300144,2015/12/31,14
300122,2015/12/31,10
300204,2015/12/31,9
300077,2015/12/31,11
300203,2015/12/31,14
300009,2015/12/31,8
300441,2015/12/31,9
300432,2015/12/31,9
300485,2015/12/31,6
300283,2015/12/31,5
300163,2015/12/31,14
300148,2015/12/31,11
300335,2015/12/31,15
300314,2015/12/31,6
300105,2015/12/31,5
300238,2015/12/31,5
300024,2015/12/31,8
300316,2015/12/31,11
300414,2015/12/31,9
300245,2015/12/31,9
300430,2015/12/31,7
300111,2015/12/31,10
300457,2015/12/31,11
300116,2015/12/31,14
300322,2015/12/31,17
300360,2015/12/31,14
300421,2015/12/31,10
300073,2015/12/31,13
300383,2015/12/31,10
300408,2015/12/31,13
300244,2015/12/31,27
300068,2015/12/31,15
300087,2015/12/31,17
300375,2015/12/31,13
300172,2015/12/31,6
300072,2015/12/31,12
300176,2015/12/31,12
300216,2015/12/31,15
300403,2015/12/31,9
300080,2015/12/31,13
