Stkcd,Reptdt,Roa
300174,2014/12/31,0.013616
300265,2014/12/31,0.027479
300376,2014/12/31,0.082107
300108,2014/12/31,0.043656
300399,2014/12/31,0.097582
300050,2014/12/31,0.022155
300150,2014/12/31,0.078609
300159,2014/12/31,0.091561
300371,2014/12/31,0.206174
300028,2014/12/31,0.005985
300233,2014/12/31,0.064682
300388,2014/12/31,0.022407
300118,2014/12/31,0.015595
300292,2014/12/31,0.052093
300112,2014/12/31,0.045556
300145,2014/12/31,0.102597
300213,2014/12/31,0.067359
300224,2014/12/31,0.05759
300301,2014/12/31,0.03322
300382,2014/12/31,0.126772
300321,2014/12/31,0.040325
300001,2014/12/31,0.066704
300342,2014/12/31,0.103468
300389,2014/12/31,0.167266
300415,2014/12/31,0.065938
300116,2014/12/31,0.009197
300106,2014/12/31,0.020358
300240,2014/12/31,0.030264
300077,2014/12/31,0.003554
300205,2014/12/31,0.031613
300119,2014/12/31,0.014462
300012,2014/12/31,0.108562
300314,2014/12/31,0.07695
300329,2014/12/31,0.038826
300024,2014/12/31,0.117269
300245,2014/12/31,0.100831
300170,2014/12/31,0.109187
300203,2014/12/31,0.074
300211,2014/12/31,0.018068
300051,2014/12/31,0.003743
300085,2014/12/31,0.037653
300087,2014/12/31,0.023575
300246,2014/12/31,0.071073
300291,2014/12/31,0.057782
300359,2014/12/31,0.141501
300148,2014/12/31,0.089235
300416,2014/12/31,0.104616
300010,2014/12/31,0.071637
300279,2014/12/31,0.028957
300034,2014/12/31,0.079501
300261,2014/12/31,0.047877
300312,2014/12/31,0.004402
300347,2014/12/31,0.125964
300425,2014/12/31,0.096211
300107,2014/12/31,0.045954
300089,2014/12/31,0.007529
300407,2014/12/31,0.083158
300057,2014/12/31,0.052901
300214,2014/12/31,0.038265
300319,2014/12/31,0.068579
300153,2014/12/31,0.028117
300185,2014/12/31,0.010756
300405,2014/12/31,0.032391
300274,2014/12/31,0.064489
300005,2014/12/31,0.173147
300331,2014/12/31,0.002558
300132,2014/12/31,0.049129
300136,2014/12/31,0.068415
300065,2014/12/31,0.021838
300189,2014/12/31,-0.070975
300243,2014/12/31,0.043711
300251,2014/12/31,0.09291
300262,2014/12/31,0.064624
300158,2014/12/31,0.012208
300040,2014/12/31,-0.039115
300149,2014/12/31,0.053001
300160,2014/12/31,0.023189
300206,2014/12/31,0.008683
300391,2014/12/31,0.046143
300062,2014/12/31,0.032559
300300,2014/12/31,0.081706
300340,2014/12/31,-0.04755
300413,2014/12/31,0.107407
300021,2014/12/31,0.014081
300350,2014/12/31,0.044873
