Stkcd,Reptdt,RDSpendSum
300449,2015/12/31,32777756.18
300450,2015/12/31,31018344.76
300451,2015/12/31,56737913.35
300452,2015/12/31,7337763.99
300453,2015/12/31,13516262.04
300455,2015/12/31,29779700.69
300456,2015/12/31,16667094.56
300457,2015/12/31,23835665.85
300458,2015/12/31,245992244
300459,2015/12/31,17225772.82
300460,2015/12/31,24923376.95
300461,2015/12/31,9175075.6
300462,2015/12/31,10590998.01
300463,2015/12/31,57257263.65
300464,2015/12/31,11921748.47
300465,2015/12/31,47649493
300466,2015/12/31,10165802.21
300467,2015/12/31,21706895.87
300468,2015/12/31,52805370.25
300469,2015/12/31,44873997.75
300470,2015/12/31,20165383.16
300471,2015/12/31,64721906
300472,2015/12/31,14049133.01
300473,2015/12/31,27299176.94
300475,2015/12/31,16327680.2
300476,2015/12/31,73463654.59
300477,2015/12/31,69015264.47
300478,2015/12/31,28540877.29
300479,2015/12/31,19791133.07
300480,2015/12/31,16864097.15
300481,2015/12/31,18193042.56
300482,2015/12/31,45605672.23
300483,2015/12/31,8481303.17
300484,2015/12/31,34450081.64
300485,2015/12/31,42506452.69
300486,2015/12/31,20835372.61
300487,2015/12/31,18844447.47
300488,2015/12/31,9686531.18
300489,2015/12/31,4828236.92
300490,2015/12/31,26552310.86
300491,2015/12/31,20097999.6
300493,2015/12/31,21783888.77
300494,2015/12/31,33984118.08
300495,2015/12/31,18147023.14
300496,2015/12/31,115769132.6
300497,2015/12/31,18331460.23
300498,2015/12/31,182733452.8
300499,2015/12/31,24525043.8
300500,2015/12/31,15708141.48
300501,2015/12/31,16778496.9
300506,2015/12/31,10919761.72
300001,2014/12/31,67603122.56
300002,2014/12/31,260550982.6
300003,2014/12/31,142077364.1
300004,2014/12/31,35370842.19
300005,2014/12/31,70101452.36
300006,2014/12/31,69321344.71
300007,2014/12/31,36795231.27
300008,2014/12/31,12849182.51
300009,2014/12/31,86239539.27
300010,2014/12/31,50951070.7
300011,2014/12/31,50700103.83
300012,2014/12/31,78384818.75
300013,2014/12/31,3003769.86
300014,2014/12/31,85825949.13
300015,2014/12/31,9579954.18
300016,2014/12/31,16913857.29
300017,2014/12/31,160640130.6
300018,2014/12/31,29333157.51
300019,2014/12/31,21155735.73
300020,2014/12/31,112400266.9
300021,2014/12/31,10560814.94
300024,2014/12/31,68085754.44
300025,2014/12/31,51191627.41
300026,2014/12/31,88448827.84
300028,2014/12/31,18256795.83
300030,2014/12/31,37657350.96
300031,2014/12/31,16622019.34
300032,2014/12/31,41807567.42
300034,2014/12/31,22586176.05
300035,2014/12/31,17714938.94
300036,2014/12/31,84281685.48
300037,2014/12/31,34863701.3
300038,2014/12/31,30297210.79
300039,2014/12/31,59022853.24
300040,2014/12/31,22676425.02
300041,2014/12/31,52904531.36
300042,2014/12/31,10324816.04
300043,2014/12/31,144956453.3
300044,2014/12/31,21088465.81
300045,2014/12/31,129877498.6
300046,2014/12/31,11040549.45
300047,2014/12/31,158939860.6
300048,2014/12/31,60991603.51
300049,2014/12/31,24030112.52
300050,2014/12/31,65128582.2
300051,2014/12/31,23022777.73
300052,2014/12/31,135754022.9
300053,2014/12/31,28029805.86
300054,2014/12/31,39477574.27
300055,2014/12/31,31659368.25
300056,2014/12/31,20124063.71
300057,2014/12/31,62739568.67
300058,2014/12/31,15442485.22
300061,2014/12/31,20690190.28
300062,2014/12/31,26481317.45
300063,2014/12/31,8738166.94
300065,2014/12/31,31461755.64
300066,2014/12/31,22798212.24
300067,2014/12/31,21465310.51
300068,2014/12/31,117500000
300069,2014/12/31,11078761.02
300070,2014/12/31,97918874.57
300071,2014/12/31,11213041.59
300072,2014/12/31,54999925.09
300073,2014/12/31,30104250.23
300074,2014/12/31,56837539.41
300075,2014/12/31,57368233.35
300076,2014/12/31,10197176.46
300077,2014/12/31,180151406.9
300078,2014/12/31,28831501.49
300079,2014/12/31,190401611.6
300080,2014/12/31,82362649.68
300081,2014/12/31,53692132.83
300082,2014/12/31,133084427.3
300083,2014/12/31,114992827.1
300084,2014/12/31,12514368.42
300085,2014/12/31,42050674.76
300086,2014/12/31,12435896.27
300087,2014/12/31,18301013.77
300088,2014/12/31,48502986.54
300089,2014/12/31,7637067.1
300090,2014/12/31,41031653.85
300091,2014/12/31,28553052.88
300092,2014/12/31,9178854.09
300093,2014/12/31,13450206.15
300094,2014/12/31,28898000
300095,2014/12/31,22433991.26
300096,2014/12/31,60660686.82
300097,2014/12/31,8381230.5
300098,2014/12/31,42437892.96
300099,2014/12/31,23405203.45
300100,2014/12/31,54611364.13
300101,2014/12/31,59433172.85
300102,2014/12/31,3223331.59
300103,2014/12/31,11618248.26
300104,2014/12/31,805571804.8
300105,2014/12/31,137797238.7
300106,2014/12/31,24320761.24
300107,2014/12/31,15334152.61
300108,2014/12/31,19854184.08
300109,2014/12/31,7988037.84
300110,2014/12/31,49625441.91
300111,2014/12/31,44758265.66
