Stkcd,Reptdt,Dual
300331,2014/12/31,2
300005,2014/12/31,2
300132,2014/12/31,2
300136,2014/12/31,2
300243,2014/12/31,2
300065,2014/12/31,1
300251,2014/12/31,1
300189,2014/12/31,2
300262,2014/12/31,1
300158,2014/12/31,2
300160,2014/12/31,1
300040,2014/12/31,2
300149,2014/12/31,2
300391,2014/12/31,2
300206,2014/12/31,1
300340,2014/12/31,1
300413,2014/12/31,1
300062,2014/12/31,2
300300,2014/12/31,1
300021,2014/12/31,2
300350,2014/12/31,1
300110,2014/12/31,2
300173,2014/12/31,2
300258,2014/12/31,1
300129,2014/12/31,2
300084,2014/12/31,2
300368,2014/12/31,2
300177,2014/12/31,2
300315,2014/12/31,1
300135,2014/12/31,2
300088,2014/12/31,2
300235,2014/12/31,1
300408,2014/12/31,2
300202,2014/12/31,2
300285,2014/12/31,2
300336,2014/12/31,1
300197,2014/12/31,2
300302,2014/12/31,1
300122,2014/12/31,1
300260,2014/12/31,1
300435,2014/12/31,2
300409,2014/12/31,1
300022,2014/12/31,1
300069,2014/12/31,2
300417,2014/12/31,2
300100,2014/12/31,1
300383,2014/12/31,2
300318,2014/12/31,2
300083,2014/12/31,2
300045,2014/12/31,2
300280,2014/12/31,2
300161,2014/12/31,1
300096,2014/12/31,2
300093,2014/12/31,1
300086,2014/12/31,1
300276,2014/12/31,2
300097,2014/12/31,1
300257,2014/12/31,2
300075,2014/12/31,2
300079,2014/12/31,1
300333,2014/12/31,1
300346,2014/12/31,2
300311,2014/12/31,1
300356,2014/12/31,2
300167,2014/12/31,1
300175,2014/12/31,2
300147,2014/12/31,1
300052,2014/12/31,1
300330,2014/12/31,2
300018,2014/12/31,2
300410,2014/12/31,1
300373,2014/12/31,1
300014,2014/12/31,1
300169,2014/12/31,2
300128,2014/12/31,1
300381,2014/12/31,1
300364,2014/12/31,1
300348,2014/12/31,2
300418,2014/12/31,1
300297,2014/12/31,2
300041,2014/12/31,2
300099,2014/12/31,2
300061,2014/12/31,1
300229,2014/12/31,2
300152,2014/12/31,2
300076,2014/12/31,1
300176,2014/12/31,2
300236,2014/12/31,2
300411,2014/12/31,2
300162,2014/12/31,1
300143,2014/12/31,2
300013,2014/12/31,1
300220,2014/12/31,1
300192,2014/12/31,1
300402,2014/12/31,2
300387,2014/12/31,2
300004,2014/12/31,1
300355,2014/12/31,2
300385,2014/12/31,1
300053,2014/12/31,1
300352,2014/12/31,1
300183,2014/12/31,2
300191,2014/12/31,1
300268,2014/12/31,2
300277,2014/12/31,2
300117,2014/12/31,2
300020,2014/12/31,2
300326,2014/12/31,2
300263,2014/12/31,2
300230,2014/12/31,1
300217,2014/12/31,2
300337,2014/12/31,2
300070,2014/12/31,2
300344,2014/12/31,1
300219,2014/12/31,2
300035,2014/12/31,2
300137,2014/12/31,1
300063,2014/12/31,2
300308,2014/12/31,1
300266,2014/12/31,1
300369,2014/12/31,1
300372,2014/12/31,2
300171,2014/12/31,1
300377,2014/12/31,1
300374,2014/12/31,1
300366,2014/12/31,2
300002,2014/12/31,2
300307,2014/12/31,1
300155,2014/12/31,2
300157,2014/12/31,2
300228,2014/12/31,2
300182,2014/12/31,2
300187,2014/12/31,1
300320,2014/12/31,1
300386,2014/12/31,2
300049,2014/12/31,2
300362,2014/12/31,2
300273,2014/12/31,1
300151,2014/12/31,2
300270,2014/12/31,1
300123,2014/12/31,1
300397,2014/12/31,1
300429,2014/12/31,1
300282,2014/12/31,2
300102,2014/12/31,2
300186,2014/12/31,2
300094,2014/12/31,2
300401,2015/12/31,2
300301,2015/12/31,2
300351,2015/12/31,2
300298,2015/12/31,1
300125,2015/12/31,2
300131,2015/12/31,2
300227,2015/12/31,1
300450,2015/12/31,1
300376,2015/12/31,1
300437,2015/12/31,2
300349,2015/12/31,1
300324,2015/12/31,1
300161,2015/12/31,1
300118,2015/12/31,2
300271,2015/12/31,1
300054,2015/12/31,2
300363,2015/12/31,2
300443,2015/12/31,2
300132,2015/12/31,2
300140,2015/12/31,2
300278,2015/12/31,2
300453,2015/12/31,2
300121,2015/12/31,1
300175,2015/12/31,2
300233,2015/12/31,2
300095,2015/12/31,2
300336,2015/12/31,1
300243,2015/12/31,2
