Stkcd,Reptdt,num_of_dir
300120,2015/12/31,7
300488,2015/12/31,7
300104,2015/12/31,5
300472,2015/12/31,7
300215,2015/12/31,9
300296,2015/12/31,9
300255,2015/12/31,9
300019,2015/12/31,9
300184,2015/12/31,8
300045,2015/12/31,9
300222,2015/12/31,9
300256,2015/12/31,9
300037,2015/12/31,9
300101,2015/12/31,9
300036,2015/12/31,9
300466,2015/12/31,9
300249,2015/12/31,5
300017,2015/12/31,7
300213,2015/12/31,11
300491,2015/12/31,9
300034,2015/12/31,9
300056,2015/12/31,9
300368,2015/12/31,9
300026,2015/12/31,9
300410,2015/12/31,9
300247,2015/12/31,9
300262,2015/12/31,7
300114,2015/12/31,9
300081,2015/12/31,9
300027,2015/12/31,9
300210,2015/12/31,7
300392,2015/12/31,8
300209,2015/12/31,7
300067,2015/12/31,6
300455,2015/12/31,9
300092,2015/12/31,9
300293,2015/12/31,7
300320,2015/12/31,9
300117,2015/12/31,8
300066,2015/12/31,9
300150,2015/12/31,9
300139,2015/12/31,9
300207,2015/12/31,6
300237,2015/12/31,9
300476,2015/12/31,7
300052,2015/12/31,7
300339,2015/12/31,11
300482,2015/12/31,9
300286,2015/12/31,7
300160,2015/12/31,9
300190,2015/12/31,9
300127,2015/12/31,9
300008,2015/12/31,9
300253,2015/12/31,7
300147,2015/12/31,9
300208,2015/12/31,9
300373,2015/12/31,6
300495,2015/12/31,9
300200,2015/12/31,7
300218,2015/12/31,12
300289,2015/12/31,9
300475,2015/12/31,7
300436,2015/12/31,9
300378,2015/12/31,11
300451,2015/12/31,8
300354,2015/12/31,7
300291,2015/12/31,9
300103,2015/12/31,9
300284,2015/12/31,7
300416,2015/12/31,9
300089,2015/12/31,7
300328,2015/12/31,9
300138,2015/12/31,8
300044,2015/12/31,9
300230,2015/12/31,9
300480,2015/12/31,9
300015,2015/12/31,7
300223,2015/12/31,6
300307,2015/12/31,9
300390,2015/12/31,5
300231,2015/12/31,5
300039,2015/12/31,9
300382,2015/12/31,7
300412,2015/12/31,9
300338,2015/12/31,5
300007,2015/12/31,8
300099,2015/12/31,6
300229,2015/12/31,8
300134,2015/12/31,5
300386,2015/12/31,7
300177,2015/12/31,5
300115,2015/12/31,7
300469,2015/12/31,9
300290,2015/12/31,9
300481,2015/12/31,7
300093,2015/12/31,5
300071,2015/12/31,8
300057,2015/12/31,9
300047,2015/12/31,10
300479,2015/12/31,9
300145,2015/12/31,9
300062,2015/12/31,7
300317,2015/12/31,6
300277,2015/12/31,5
300214,2015/12/31,9
300090,2015/12/31,11
300217,2015/12/31,6
300406,2015/12/31,9
300425,2015/12/31,7
300133,2015/12/31,7
300239,2015/12/31,7
300327,2015/12/31,7
300065,2015/12/31,5
300221,2015/12/31,7
300003,2015/12/31,6
300078,2015/12/31,8
300299,2015/12/31,9
300018,2015/12/31,5
300442,2015/12/31,7
300419,2015/12/31,7
300050,2015/12/31,5
300371,2015/12/31,8
300074,2015/12/31,9
300306,2015/12/31,7
300051,2015/12/31,5
300076,2015/12/31,9
300112,2015/12/31,7
300069,2015/12/31,5
300107,2015/12/31,9
300174,2015/12/31,5
300257,2015/12/31,7
300235,2015/12/31,7
300267,2015/12/31,9
300049,2015/12/31,11
300187,2015/12/31,7
300041,2015/12/31,9
300420,2015/12/31,9
300424,2015/12/31,8
300415,2015/12/31,9
300195,2015/12/31,7
300357,2015/12/31,7
300181,2015/12/31,6
300242,2015/12/31,9
300212,2015/12/31,10
300294,2015/12/31,7
300490,2015/12/31,9
300097,2015/12/31,6
300046,2015/12/31,8
300389,2015/12/31,9
300011,2015/12/31,10
300396,2015/12/31,8
300303,2015/12/31,5
300325,2015/12/31,9
300426,2015/12/31,7
300136,2015/12/31,9
300473,2015/12/31,9
300156,2015/12/31,9
300418,2015/12/31,7
300394,2015/12/31,9
300341,2015/12/31,5
300240,2015/12/31,9
300211,2015/12/31,7
300124,2015/12/31,9
300251,2015/12/31,8
300031,2015/12/31,8
300434,2015/12/31,6
300085,2015/12/31,9
300359,2015/12/31,9
300400,2015/12/31,5
300334,2015/12/31,7
300438,2015/12/31,9
