Stkcd,Reptdt,Salary
300172,2015/12/31,853600
300072,2015/12/31,3917300
300403,2015/12/31,830600
300216,2015/12/31,680400
300176,2015/12/31,1382400
300080,2015/12/31,1040500
300428,2015/12/31,289600
300143,2015/12/31,676600
300458,2015/12/31,3600400
300025,2015/12/31,906600
300422,2015/12/31,1621100
300225,2015/12/31,1690800
300393,2015/12/31,1601900
300149,2015/12/31,890300
300398,2015/12/31,2000800
300365,2015/12/31,675900
300120,2015/12/31,517800
300488,2015/12/31,774100
300104,2015/12/31,1700000
300472,2015/12/31,820000
300215,2015/12/31,2584100
300296,2015/12/31,815700
300255,2015/12/31,1760000
300019,2015/12/31,1843300
300184,2015/12/31,1567300
300045,2015/12/31,1433300
300222,2015/12/31,2274500
300256,2015/12/31,1638300
300037,2015/12/31,2131800
300101,2015/12/31,2740700
300036,2015/12/31,1560701
300466,2015/12/31,1050400
300249,2015/12/31,720000
300017,2015/12/31,3650500
300213,2015/12/31,1766500
300491,2015/12/31,2677800
300034,2015/12/31,1314100
300056,2015/12/31,1917700
300368,2015/12/31,1113500
300026,2015/12/31,11954700
300410,2015/12/31,1536600
300247,2015/12/31,1234700
300262,2015/12/31,390200
300114,2015/12/31,1408800
300081,2015/12/31,716600
300027,2015/12/31,3299100
300210,2015/12/31,468000
300392,2015/12/31,1943800
300209,2015/12/31,1749000
300067,2015/12/31,1110000
300455,2015/12/31,795400
300092,2015/12/31,595200
300293,2015/12/31,698600
300320,2015/12/31,1039300
300117,2015/12/31,715200
300066,2015/12/31,1085500
300150,2015/12/31,1720000
300139,2015/12/31,1800000
300207,2015/12/31,1860500
300237,2015/12/31,824700
300476,2015/12/31,1471800
300052,2015/12/31,1051000
300339,2015/12/31,3057500
300482,2015/12/31,1798100
300286,2015/12/31,1099000
300160,2015/12/31,1453900
300190,2015/12/31,1825900
300127,2015/12/31,1747200
300008,2015/12/31,860000
300253,2015/12/31,1134700
300147,2015/12/31,1010000
300208,2015/12/31,1196500
300373,2015/12/31,1006000
300495,2015/12/31,1233700
300200,2015/12/31,1027000
300218,2015/12/31,2800000
300289,2015/12/31,5494000
300475,2015/12/31,2869000
300436,2015/12/31,1439500
300378,2015/12/31,3120000
300451,2015/12/31,1040300
300354,2015/12/31,804800
300291,2015/12/31,807700
300103,2015/12/31,1294100
300284,2015/12/31,3176400
300416,2015/12/31,1426700
300089,2015/12/31,851000
300328,2015/12/31,2528400
300138,2015/12/31,2214900
300044,2015/12/31,1005300
300230,2015/12/31,999700
300480,2015/12/31,1395900
300015,2015/12/31,1220000
300223,2015/12/31,828000
300307,2015/12/31,1500000
300390,2015/12/31,910000
300231,2015/12/31,792300
300039,2015/12/31,1680000
300382,2015/12/31,1459300
300412,2015/12/31,679700
300338,2015/12/31,1700500
300007,2015/12/31,902200
300099,2015/12/31,626900
300229,2015/12/31,844800
300134,2015/12/31,3000000
300386,2015/12/31,1244000
300177,2015/12/31,763200
300115,2015/12/31,1468500
300469,2015/12/31,1514500
300290,2015/12/31,2340000
300481,2015/12/31,140000
300093,2015/12/31,890400
300071,2015/12/31,1544500
300057,2015/12/31,2252700
300047,2015/12/31,2216700
300479,2015/12/31,934400
300145,2015/12/31,865300
300062,2015/12/31,1342004
300317,2015/12/31,1446800
300277,2015/12/31,296200
300214,2015/12/31,1311900
300090,2015/12/31,1656000
300217,2015/12/31,1316500
300406,2015/12/31,6048000
300425,2015/12/31,1090000
300133,2015/12/31,2208400
300239,2015/12/31,1415000
300327,2015/12/31,1500000
300065,2015/12/31,523863.54
300221,2015/12/31,1407300
300003,2015/12/31,525000
300078,2015/12/31,1450300
300299,2015/12/31,1441600
300018,2015/12/31,1460100
300442,2015/12/31,582400
300419,2015/12/31,651200
300050,2015/12/31,2160100
300371,2015/12/31,1187300
300074,2015/12/31,1170000
300306,2015/12/31,901200
300051,2015/12/31,1589000
300076,2015/12/31,2160200
300112,2015/12/31,1215400
300069,2015/12/31,460600
300107,2015/12/31,594800
300174,2015/12/31,885000
300257,2015/12/31,2384900
300235,2015/12/31,1372100
300267,2015/12/31,6134400
300049,2015/12/31,1644800
300187,2015/12/31,2068800
300041,2015/12/31,1347400
300420,2015/12/31,384200
300424,2015/12/31,5560200
300415,2015/12/31,4338400
300195,2015/12/31,2368700
300357,2015/12/31,1190000
300181,2015/12/31,1473200
300242,2015/12/31,1089300
300212,2015/12/31,1963000
300294,2015/12/31,1930000
300490,2015/12/31,1170900
300097,2015/12/31,642000
300046,2015/12/31,764700
300389,2015/12/31,2543000
300011,2015/12/31,2822700
