Stkcd,Reptdt,Shrcr
300232,2014/12/31,0.4075
300194,2013/12/31,0.4612
300194,2014/12/31,0.4612
300259,2013/12/31,0.4367
300259,2014/12/31,0.4191
300260,2013/12/31,0.2838
300260,2014/12/31,0.2838
300261,2013/12/31,0.5239
300261,2014/12/31,0.5239
300353,2013/12/31,0.3953
300353,2014/12/31,0.3953
300160,2013/12/31,0.3498
300160,2014/12/31,0.2962
300161,2013/12/31,0.2036
300161,2014/12/31,0.2036
300228,2013/12/31,0.1394
300162,2013/12/31,0.2831
300162,2014/12/31,0.2831
300190,2013/12/31,0.5772
300190,2014/12/31,0.5194
300318,2013/12/31,0.2503
300318,2014/12/31,0.2503
300195,2013/12/31,0.4868
300195,2014/12/31,0.3182
300196,2013/12/31,0.3938
300196,2014/12/31,0.3938
300197,2013/12/31,0.5165
300197,2014/12/31,0.5165
300198,2013/12/31,0.1614
300198,2014/12/31,0.1624
300147,2013/12/31,0.3406
300147,2014/12/31,0.3406
300148,2013/12/31,0.6517
300148,2014/12/31,0.3841
300149,2013/12/31,0.3212
300149,2014/12/31,0.2409
300151,2013/12/31,0.4991
300151,2014/12/31,0.4991
300156,2013/12/31,0.2837
300156,2014/12/31,0.1979
300157,2013/12/31,0.2331
300157,2014/12/31,0.1763
300158,2013/12/31,0.5908
300158,2014/12/31,0.5908
300212,2013/12/31,0.3519
300212,2014/12/31,0.3519
300214,2013/12/31,0.3121
300214,2014/12/31,0.3121
300215,2013/12/31,0.3111
300215,2014/12/31,0.3111
300211,2013/12/31,0.484
300211,2014/12/31,0.484
300216,2013/12/31,0.1368
300216,2014/12/31,0.1372
300163,2013/12/31,0.4587
300163,2014/12/31,0.4587
300164,2013/12/31,0.233
300164,2014/12/31,0.233
300229,2013/12/31,0.5645
300229,2014/12/31,0.4967
300230,2013/12/31,0.4472
300230,2014/12/31,0.4472
300191,2013/12/31,0.5708
300191,2014/12/31,0.4708
300192,2013/12/31,0.3741
300192,2014/12/31,0.3741
300193,2013/12/31,0.2406
300258,2013/12/31,0.50625
300258,2014/12/31,0.5063
300165,2013/12/31,0.4257
300165,2014/12/31,0.4257
300289,2013/12/31,0.3675
300289,2014/12/31,0.3589
300207,2013/12/31,0.331
300207,2014/12/31,0.2917
300208,2013/12/31,0.3313
300208,2014/12/31,0.3126
300209,2013/12/31,0.3
300209,2014/12/31,0.3
300210,2013/12/31,0.3944
300210,2014/12/31,0.3944
300262,2013/12/31,0.5268
300262,2014/12/31,0.5081
300263,2013/12/31,0.131
300263,2014/12/31,0.1305
300264,2013/12/31,0.3694
300264,2014/12/31,0.3258
300265,2013/12/31,0.5519
300265,2014/12/31,0.5519
300159,2013/12/31,0.1631
300159,2014/12/31,0.1548
300225,2013/12/31,0.3669
300225,2014/12/31,0.3669
300226,2013/12/31,0.3969
300226,2014/12/31,0.2969
300227,2013/12/31,0.4888
300227,2014/12/31,0.4173
300150,2013/12/31,0.2111
300150,2014/12/31,0.2111
300199,2013/12/31,0.2606
300199,2014/12/31,0.2606
300200,2013/12/31,0.3753
300200,2014/12/31,0.3753
300201,2013/12/31,0.2485
300201,2014/12/31,0.2485
300202,2013/12/31,0.2999
300202,2014/12/31,0.2999
300217,2013/12/31,0.2249
300217,2014/12/31,0.2249
300269,2013/12/31,0.2545
300269,2014/12/31,0.2477
300016,2013/12/31,0.2113
300016,2014/12/31,0.2343
300213,2013/12/31,0.1553
300213,2014/12/31,0.1553
300218,2013/12/31,0.225
300218,2014/12/31,0.2202
300219,2013/12/31,0.2735
300219,2014/12/31,0.2726
300220,2013/12/31,0.5485
300220,2014/12/31,0.5485
300235,2013/12/31,0.2265
300235,2014/12/31,0.2265
300236,2013/12/31,0.2238
300236,2014/12/31,0.213
300290,2013/12/31,0.2887
300290,2014/12/31,0.2887
300250,2013/12/31,0.5863
300250,2014/12/31,0.5863
300251,2013/12/31,0.5405
300251,2014/12/31,0.5405
300252,2013/12/31,0.3935
300252,2014/12/31,0.3712
300186,2013/12/31,0.1057
300186,2014/12/31,0.1055
300166,2013/12/31,0.2352
300166,2014/12/31,0.201
300167,2013/12/31,0.4166
300167,2014/12/31,0.4166
300168,2013/12/31,0.2624
300168,2014/12/31,0.2593
300233,2013/12/31,0.3932
300233,2014/12/31,0.3767
300234,2013/12/31,0.375
300234,2014/12/31,0.375
300388,2014/12/31,0.4412
300336,2013/12/31,0.3125
300336,2014/12/31,0.3125
300298,2013/12/31,0.3409
300298,2014/12/31,0.3366
300296,2013/12/31,0.453
300296,2014/12/31,0.421
300305,2013/12/31,0.2501
300305,2014/12/31,0.2501
300283,2013/12/31,0.6353
300283,2014/12/31,0.6353
300280,2013/12/31,0.625
300280,2014/12/31,0.625
300310,2013/12/31,0.1088
300310,2014/12/31,0.1088
300311,2013/12/31,0.5345
300311,2014/12/31,0.5194
300313,2013/12/31,0.3084
300313,2014/12/31,0.3084
300276,2013/12/31,0.3977
300276,2014/12/31,0.3977
300272,2013/12/31,0.3845
300272,2014/12/31,0.3847
300274,2013/12/31,0.3828
300274,2014/12/31,0.3806
300273,2013/12/31,0.2239
300273,2014/12/31,0.2119
300278,2013/12/31,0.4894
300278,2014/12/31,0.4015
300306,2013/12/31,0.3336
300306,2014/12/31,0.3336
300307,2013/12/31,0.4548
300307,2014/12/31,0.4548
300338,2013/12/31,0.2589
300338,2014/12/31,0.2589
300277,2013/12/31,0.2689
300277,2014/12/31,0.2726
300312,2013/12/31,0.3664
300312,2014/12/31,0.3664
300316,2013/12/31,0.562
300316,2014/12/31,0.562
300293,2013/12/31,0.4275
300293,2014/12/31,0.4275
300321,2013/12/31,0.4381
300321,2014/12/31,0.4381
300333,2013/12/31,0.2758
300333,2014/12/31,0.2758
300317,2013/12/31,0.2039
300317,2014/12/31,0.2039
300315,2013/12/31,0.2592
300315,2014/12/31,0.2254
300319,2013/12/31,0.3757
300319,2014/12/31,0.361
300314,2013/12/31,0.2775
300314,2014/12/31,0.2775
300303,2013/12/31,0.2538
300303,2014/12/31,0.2554
300320,2013/12/31,0.2461
300320,2014/12/31,0.2461
300325,2013/12/31,0.329
300325,2014/12/31,0.329
300324,2013/12/31,0.426
300324,2014/12/31,0.4039
300332,2013/12/31,0.2573
300332,2014/12/31,0.2502
300329,2013/12/31,0.2999
300329,2014/12/31,0.2999
300335,2013/12/31,0.1762
300335,2014/12/31,0.1748
300327,2013/12/31,0.3098
300327,2014/12/31,0.3098
300291,2013/12/31,0.3
300291,2014/12/31,0.2012
300330,2013/12/31,0.2913
300330,2014/12/31,0.2913
300288,2013/12/31,0.3823
300288,2014/12/31,0.3823
300281,2013/12/31,0.4522
300281,2014/12/31,0.4478
300339,2013/12/31,0.2717
300339,2014/12/31,0.2198
300337,2013/12/31,0.4234
300337,2014/12/31,0.4234
300322,2013/12/31,0.3384
300322,2014/12/31,0.3368
300297,2013/12/31,0.1907
300297,2014/12/31,0.1907
300279,2013/12/31,0.2528
300279,2014/12/31,0.2597
300334,2013/12/31,0.2452
300334,2014/12/31,0.2452
300331,2013/12/31,0.2701
300331,2014/12/31,0.2701
300299,2013/12/31,0.3229
300299,2014/12/31,0.3229
300294,2013/12/31,0.3511
300294,2014/12/31,0.3511
300285,2013/12/31,0.1921
300285,2014/12/31,0.1901
300301,2013/12/31,0.2557
300301,2014/12/31,0.2566
300301,2015/12/31,0.2406
300300,2013/12/31,0.431
300300,2014/12/31,0.431
300302,2013/12/31,0.1863
300302,2014/12/31,0.1863
300304,2013/12/31,0.5213
300304,2014/12/31,0.5213
300295,2013/12/31,0.185
300295,2014/12/31,0.185
300308,2013/12/31,0.4786
300308,2014/12/31,0.4786
300292,2013/12/31,0.4495
300292,2014/12/31,0.4319
300275,2013/12/31,0.3036
300275,2014/12/31,0.3037
300257,2013/12/31,0.5594
300257,2014/12/31,0.5594
300341,2013/12/31,0.5966
300341,2014/12/31,0.5966
300342,2013/12/31,0.5006
300342,2014/12/31,0.5006
300340,2013/12/31,0.2256
300340,2014/12/31,0.2256
300343,2013/12/31,0.3439
300343,2014/12/31,0.3439
300344,2013/12/31,0.2833
300344,2014/12/31,0.2833
300345,2013/12/31,0.2239
300345,2014/12/31,0.2239
300347,2013/12/31,0.2788
300347,2014/12/31,0.277
