Stkcd,Reptdt,Indcd,Code,Date
300171,2013/12/31,C35,300171,2013/12/31
300137,2013/12/31,C40,300137,2013/12/31
300183,2013/12/31,I65,300183,2013/12/31
300351,2013/12/31,C39,300351,2013/12/31
300266,2013/12/31,C34,300266,2013/12/31
300308,2013/12/31,C35,300308,2013/12/31
300187,2013/12/31,N77,300187,2013/12/31
300161,2013/12/31,C34,300161,2013/12/31
300057,2013/12/31,C32,300057,2013/12/31
300175,2013/12/31,C13,300175,2013/12/31
300020,2013/12/31,I65,300020,2013/12/31
300028,2013/12/31,C39,300028,2013/12/31
300061,2013/12/31,C41,300061,2013/12/31
300276,2013/12/31,C35,300276,2013/12/31
300166,2013/12/31,I65,300166,2013/12/31
300128,2013/12/31,C39,300128,2013/12/31
300178,2013/12/31,L72,300178,2013/12/31
300217,2013/12/31,C38,300217,2013/12/31
300332,2013/12/31,M74,300332,2013/12/31
300189,2013/12/31,A01,300189,2013/12/31
300377,2013/12/31,I65,300377,2013/12/31
300312,2013/12/31,I65,300312,2013/12/31
300094,2013/12/31,A04,300094,2013/12/31
300208,2013/12/31,C38,300208,2013/12/31
300157,2013/12/31,B11,300157,2013/12/31
300260,2013/12/31,C34,300260,2013/12/31
300268,2013/12/31,C13,300268,2013/12/31
300315,2013/12/31,I65,300315,2013/12/31
300122,2013/12/31,C27,300122,2013/12/31
300279,2013/12/31,C38,300279,2013/12/31
300025,2013/12/31,I63,300025,2013/12/31
300049,2013/12/31,C27,300049,2013/12/31
300139,2013/12/31,C39,300139,2013/12/31
300369,2013/12/31,I65,300369,2013/12/31
300293,2013/12/31,C35,300293,2013/12/31
300378,2013/12/31,I65,300378,2013/12/31
300022,2013/12/31,F52,300022,2013/12/31
300156,2013/12/31,C35,300156,2013/12/31
300167,2013/12/31,I65,300167,2013/12/31
300355,2013/12/31,E48,300355,2013/12/31
300269,2013/12/31,C39,300269,2013/12/31
300277,2013/12/31,I65,300277,2013/12/31
300358,2014/12/31,C35,300358,2014/12/31
300208,2014/12/31,C38,300208,2014/12/31
300278,2014/12/31,C35,300278,2014/12/31
300056,2014/12/31,C35,300056,2014/12/31
300011,2014/12/31,C37,300011,2014/12/31
300196,2014/12/31,C30,300196,2014/12/31
300131,2014/12/31,C39,300131,2014/12/31
300286,2014/12/31,C40,300286,2014/12/31
300390,2014/12/31,C39,300390,2014/12/31
300317,2014/12/31,C38,300317,2014/12/31
300294,2014/12/31,C27,300294,2014/12/31
300198,2014/12/31,C29,300198,2014/12/31
300239,2014/12/31,C27,300239,2014/12/31
300357,2014/12/31,C27,300357,2014/12/31
300193,2014/12/31,C34,300193,2014/12/31
300242,2014/12/31,C38,300242,2014/12/31
300238,2014/12/31,C35,300238,2014/12/31
300248,2014/12/31,I65,300248,2014/12/31
300241,2014/12/31,C39,300241,2014/12/31
300335,2014/12/31,D44,300335,2014/12/31
300353,2014/12/31,C39,300353,2014/12/31
300030,2014/12/31,C35,300030,2014/12/31
300204,2014/12/31,C27,300204,2014/12/31
300256,2014/12/31,C39,300256,2014/12/31
300125,2014/12/31,M74,300125,2014/12/31
300179,2014/12/31,C30,300179,2014/12/31
300363,2014/12/31,C27,300363,2014/12/31
300299,2014/12/31,I65,300299,2014/12/31
300144,2014/12/31,R87,300144,2014/12/31
300201,2014/12/31,C35,300201,2014/12/31
300146,2014/12/31,C14,300146,2014/12/31
300253,2014/12/31,I65,300253,2014/12/31
300226,2014/12/31,I64,300226,2014/12/31
300267,2014/12/31,C27,300267,2014/12/31
300009,2014/12/31,C27,300009,2014/12/31
300351,2014/12/31,C39,300351,2014/12/31
300328,2014/12/31,C33,300328,2014/12/31
300134,2014/12/31,C39,300134,2014/12/31
300140,2014/12/31,C38,300140,2014/12/31
300054,2014/12/31,C26,300054,2014/12/31
300139,2014/12/31,C39,300139,2014/12/31
300055,2014/12/31,E48,300055,2014/12/31
300141,2014/12/31,C38,300141,2014/12/31
300227,2014/12/31,C39,300227,2014/12/31
300156,2014/12/31,C35,300156,2014/12/31
300289,2014/12/31,C27,300289,2014/12/31
300127,2014/12/31,C39,300127,2014/12/31
300322,2014/12/31,C39,300322,2014/12/31
300365,2014/12/31,I65,300365,2014/12/31
300295,2014/12/31,I64,300295,2014/12/31
300379,2014/12/31,I65,300379,2014/12/31
300345,2014/12/31,C33,300345,2014/12/31
300221,2014/12/31,C29,300221,2014/12/31
300121,2014/12/31,C26,300121,2014/12/31
300316,2014/12/31,C35,300316,2014/12/31
300237,2014/12/31,C36,300237,2014/12/31
300199,2014/12/31,C27,300199,2014/12/31
300406,2014/12/31,C27,300406,2014/12/31
300165,2014/12/31,C40,300165,2014/12/31
300184,2014/12/31,F51,300184,2014/12/31
300072,2014/12/31,C26,300072,2014/12/31
300305,2014/12/31,C29,300305,2014/12/31
300017,2014/12/31,I65,300017,2014/12/31
300303,2014/12/31,C39,300303,2014/12/31
300111,2014/12/31,C39,300111,2014/12/31
300190,2014/12/31,N77,300190,2014/12/31
300380,2014/12/31,I65,300380,2014/12/31
300067,2014/12/31,C26,300067,2014/12/31
300209,2014/12/31,I65,300209,2014/12/31
300247,2014/12/31,C38,300247,2014/12/31
300216,2014/12/31,C35,300216,2014/12/31
300172,2014/12/31,N77,300172,2014/12/31
300281,2014/12/31,C35,300281,2014/12/31
300244,2014/12/31,Q83,300244,2014/12/31
300341,2014/12/31,C38,300341,2014/12/31
300324,2014/12/31,I65,300324,2014/12/31
300395,2014/12/31,C30,300395,2014/12/31
300298,2014/12/31,C35,300298,2014/12/31
300343,2014/12/31,C26,300343,2014/12/31
300074,2014/12/31,I65,300074,2014/12/31
300323,2014/12/31,C39,300323,2014/12/31
300133,2014/12/31,R86,300133,2014/12/31
300225,2014/12/31,C26,300225,2014/12/31
300398,2014/12/31,C26,300398,2014/12/31
300003,2014/12/31,C35,300003,2014/12/31
300195,2014/12/31,C35,300195,2014/12/31
300046,2014/12/31,C39,300046,2014/12/31
300105,2014/12/31,C38,300105,2014/12/31
300078,2014/12/31,C39,300078,2014/12/31
300164,2014/12/31,B11,300164,2014/12/31
300025,2014/12/31,I65,300025,2014/12/31
300006,2014/12/31,C27,300006,2014/12/31
300124,2014/12/31,C38,300124,2014/12/31
300288,2014/12/31,I63,300288,2014/12/31
300058,2014/12/31,L72,300058,2014/12/31
300031,2014/12/31,C29,300031,2014/12/31
300178,2014/12/31,L72,300178,2014/12/31
300043,2014/12/31,C24,300043,2014/12/31
300095,2014/12/31,C35,300095,2014/12/31
300019,2014/12/31,C26,300019,2014/12/31
300419,2014/12/31,I65,300419,2014/12/31
300142,2014/12/31,C27,300142,2014/12/31
300396,2014/12/31,C35,300396,2014/12/31
300349,2014/12/31,C40,300349,2014/12/31
300037,2014/12/31,C26,300037,2014/12/31
300073,2014/12/31,C30,300073,2014/12/31
300101,2014/12/31,C39,300101,2014/12/31
300166,2014/12/31,I65,300166,2014/12/31
300231,2014/12/31,I65,300231,2014/12/31
300254,2014/12/31,C27,300254,2014/12/31
300275,2014/12/31,I65,300275,2014/12/31
300272,2014/12/31,C38,300272,2014/12/31
300068,2014/12/31,C38,300068,2014/12/31
300421,2014/12/31,C34,300421,2014/12/31
300249,2014/12/31,C35,300249,2014/12/31
300255,2014/12/31,C27,300255,2014/12/31
300370,2014/12/31,C40,300370,2014/12/31
300138,2014/12/31,C13,300138,2014/12/31
300154,2014/12/31,C34,300154,2014/12/31
300284,2014/12/31,M74,300284,2014/12/31
300283,2014/12/31,C38,300283,2014/12/31
300212,2014/12/31,I65,300212,2014/12/31
300412,2014/12/31,C35,300412,2014/12/31
300403,2014/12/31,C38,300403,2014/12/31
300271,2014/12/31,I65,300271,2014/12/31
300039,2014/12/31,C27,300039,2014/12/31
300304,2014/12/31,C36,300304,2014/12/31
300296,2014/12/31,C39,300296,2014/12/31
300339,2014/12/31,I65,300339,2014/12/31
300384,2014/12/31,M74,300384,2014/12/31
300310,2014/12/31,I63,300310,2014/12/31
300332,2014/12/31,M74,300332,2014/12/31
300048,2014/12/31,C38,300048,2014/12/31
300210,2014/12/31,C35,300210,2014/12/31
300293,2014/12/31,C35,300293,2014/12/31
300222,2014/12/31,C38,300222,2014/12/31
300066,2014/12/31,C40,300066,2014/12/31
300081,2014/12/31,F52,300081,2014/12/31
300207,2014/12/31,C38,300207,2014/12/31
300071,2014/12/31,L72,300071,2014/12/31
300113,2014/12/31,I64,300113,2014/12/31
300032,2014/12/31,C38,300032,2014/12/31
300090,2014/12/31,C34,300090,2014/12/31
300114,2014/12/31,C39,300114,2014/12/31
300181,2014/12/31,C27,300181,2014/12/31
300188,2014/12/31,I65,300188,2014/12/31
300200,2014/12/31,C26,300200,2014/12/31
300218,2014/12/31,C29,300218,2014/12/31
300334,2014/12/31,C35,300334,2014/12/31
300027,2014/12/31,R86,300027,2014/12/31
300392,2014/12/31,I64,300392,2014/12/31
300393,2014/12/31,C41,300393,2014/12/31
300047,2014/12/31,I65,300047,2014/12/31
300180,2014/12/31,C29,300180,2014/12/31
300264,2014/12/31,I65,300264,2014/12/31
300163,2014/12/31,C41,300163,2014/12/31
300338,2014/12/31,C40,300338,2014/12/31
300038,2014/12/31,C39,300038,2014/12/31
300250,2014/12/31,C39,300250,2014/12/31
300259,2014/12/31,C40,300259,2014/12/31
300007,2014/12/31,C40,300007,2014/12/31
300194,2014/12/31,C27,300194,2014/12/31
300360,2014/12/31,C40,300360,2014/12/31
300378,2014/12/31,I65,300378,2014/12/31
300126,2014/12/31,C34,300126,2014/12/31
300223,2014/12/31,C39,300223,2014/12/31
300290,2014/12/31,I65,300290,2014/12/31
300306,2014/12/31,C40,300306,2014/12/31
300401,2014/12/31,C14,300401,2014/12/31
300008,2014/12/31,M74,300008,2014/12/31
300313,2014/12/31,A03,300313,2014/12/31
300420,2014/12/31,C34,300420,2014/12/31
300092,2014/12/31,C35,300092,2014/12/31
300354,2014/12/31,C40,300354,2014/12/31
300103,2014/12/31,C35,300103,2014/12/31
300109,2014/12/31,C26,300109,2014/12/31
300130,2014/12/31,C35,300130,2014/12/31
300234,2014/12/31,C30,300234,2014/12/31
300036,2014/12/31,I65,300036,2014/12/31
300120,2014/12/31,C38,300120,2014/12/31
300091,2014/12/31,C34,300091,2014/12/31
300016,2014/12/31,C27,300016,2014/12/31
300287,2014/12/31,I65,300287,2014/12/31
300375,2014/12/31,C29,300375,2014/12/31
300400,2014/12/31,C35,300400,2014/12/31
300026,2014/12/31,C27,300026,2014/12/31
300080,2014/12/31,C30,300080,2014/12/31
300082,2014/12/31,C26,300082,2014/12/31
300104,2014/12/31,I64,300104,2014/12/31
300115,2014/12/31,C39,300115,2014/12/31
300325,2014/12/31,C29,300325,2014/12/31
300327,2014/12/31,C39,300327,2014/12/31
300015,2014/12/31,Q83,300015,2014/12/31
300044,2014/12/31,I65,300044,2014/12/31
300252,2014/12/31,C38,300252,2014/12/31
300042,2014/12/31,C39,300042,2014/12/31
300215,2014/12/31,M74,300215,2014/12/31
300168,2014/12/31,I65,300168,2014/12/31
300269,2014/12/31,C39,300269,2014/12/31
300098,2014/12/31,I65,300098,2014/12/31
300232,2014/12/31,C39,300232,2014/12/31
300174,2014/12/31,C26,300174,2014/12/31
300265,2014/12/31,C38,300265,2014/12/31
300376,2014/12/31,C38,300376,2014/12/31
300108,2014/12/31,C26,300108,2014/12/31
300399,2014/12/31,I65,300399,2014/12/31
300050,2014/12/31,I65,300050,2014/12/31
300150,2014/12/31,I65,300150,2014/12/31
300159,2014/12/31,C35,300159,2014/12/31
300371,2014/12/31,C40,300371,2014/12/31
300028,2014/12/31,C39,300028,2014/12/31
300233,2014/12/31,C27,300233,2014/12/31
300388,2014/12/31,N77,300388,2014/12/31
300118,2014/12/31,C39,300118,2014/12/31
300292,2014/12/31,C39,300292,2014/12/31
300112,2014/12/31,C40,300112,2014/12/31
300145,2014/12/31,C34,300145,2014/12/31
300213,2014/12/31,C39,300213,2014/12/31
300224,2014/12/31,C30,300224,2014/12/31
